FullGeoName,Year,Travel status,Location,Reported cases,Legend,Notes
"MO, Clay",2025,All,29047,1 to 4,1 to 4,"MO, Clay County"
"MO, Platte",2025,All,29165,1 to 4,1 to 4,"MO, Platte County"
"MO, Scott",2025,All,29201,1 to 4,1 to 4,"MO, Scott County"
"NE, Douglas",2025,All,31055,1 to 4,1 to 4,"NE, Douglas County"
"NE, Lancaster",2025,All,31109,1 to 4,1 to 4,"NE, Lancaster County"
"NV, Churchill",2025,All,32001,1 to 4,1 to 4,"NV, Churchill County"
"NH, Hillsborough",2025,All,33011,1 to 4,1 to 4,"NH, Hillsborough County"
"NH, Merrimack",2025,All,33013,1 to 4,1 to 4,"NH, Merrimack County"
"NH, Strafford",2025,All,33017,1 to 4,1 to 4,"NH, Strafford County"
"NJ, Bergen",2025,All,34003,1 to 4,1 to 4,"NJ, Bergen County"
"NJ, Hudson",2025,All,34017,1 to 4,1 to 4,"NJ, Hudson County"
"NJ, Hunterdon",2025,All,34019,1 to 4,1 to 4,"NJ, Hunterdon County"
"NJ, Mercer",2025,All,34021,1 to 4,1 to 4,"NJ, Mercer County"
"NJ, Middlesex",2025,All,34023,1 to 4,1 to 4,"NJ, Middlesex County"
"NJ, Monmouth",2025,All,34025,1 to 4,1 to 4,"NJ, Monmouth County"
"NJ, Morris",2025,All,34027,1 to 4,1 to 4,"NJ, Morris County"
"NJ, Somerset",2025,All,34035,1 to 4,1 to 4,"NJ, Somerset County"
"NJ, Union",2025,All,34039,1 to 4,1 to 4,"NJ, Union County"
"NM, Bernalillo",2025,All,35001,1 to 4,1 to 4,"NM, Bernalillo County"
"NY, Broome",2025,All,36007,1 to 4,1 to 4,"NY, Broome County"
"NY, Erie",2025,All,36029,1 to 4,1 to 4,"NY, Erie County"
"NY, Madison",2025,All,36053,1 to 4,1 to 4,"NY, Madison County"
"NY, Rockland",2025,All,36087,1 to 4,1 to 4,"NY, Rockland County"
"NY, Warren",2025,All,36113,1 to 4,1 to 4,"NY, Warren County"
"NY, Westchester",2025,All,36119,1 to 4,1 to 4,"NY, Westchester County"
"NC, Buncombe",2025,All,37021,1 to 4,1 to 4,"NC, Buncombe County"
"NC, Cabarrus",2025,All,37025,1 to 4,1 to 4,"NC, Cabarrus County"
"NC, Caldwell",2025,All,37027,1 to 4,1 to 4,"NC, Caldwell County"
"NC, Dare",2025,All,37055,1 to 4,1 to 4,"NC, Dare County"
"NC, Durham",2025,All,37063,1 to 4,1 to 4,"NC, Durham County"
"NC, Henderson",2025,All,37089,1 to 4,1 to 4,"NC, Henderson County"
"NC, Iredell",2025,All,37097,1 to 4,1 to 4,"NC, Iredell County"
"NC, Mecklenburg",2025,All,37119,1 to 4,1 to 4,"NC, Mecklenburg County"
"NC, Moore",2025,All,37125,1 to 4,1 to 4,"NC, Moore County"
"NC, Orange",2025,All,37135,1 to 4,1 to 4,"NC, Orange County"
"NC, Randolph",2025,All,37151,1 to 4,1 to 4,"NC, Randolph County"
"NC, Wake",2025,All,37183,1 to 4,1 to 4,"NC, Wake County"
"NC, Watauga",2025,All,37189,1 to 4,1 to 4,"NC, Watauga County"
"ND, Cass",2025,All,38017,1 to 4,1 to 4,"ND, Cass County"
"OH, Athens",2025,All,39009,1 to 4,1 to 4,"OH, Athens County"
"OH, Butler",2025,All,39017,1 to 4,1 to 4,"OH, Butler County"
"OH, Cuyahoga",2025,All,39035,1 to 4,1 to 4,"OH, Cuyahoga County"
"OH, Geauga",2025,All,39055,1 to 4,1 to 4,"OH, Geauga County"
"OH, Hamilton",2025,All,39061,1 to 4,1 to 4,"OH, Hamilton County"
"OH, Licking",2025,All,39089,1 to 4,1 to 4,"OH, Licking County"
"OH, Montgomery",2025,All,39113,1 to 4,1 to 4,"OH, Montgomery County"
"OH, Muskingum",2025,All,39119,1 to 4,1 to 4,"OH, Muskingum County"
"OK, Garfield",2025,All,40047,1 to 4,1 to 4,"OK, Garfield County"
"OK, Mayes",2025,All,40097,1 to 4,1 to 4,"OK, Mayes County"
"OK, Oklahoma",2025,All,40109,1 to 4,1 to 4,"OK, Oklahoma County"
"OR, Deschutes",2025,All,41017,1 to 4,1 to 4,"OR, Deschutes County"
"OR, Hood River",2025,All,41027,1 to 4,1 to 4,"OR, Hood River County"
"OR, Washington",2025,All,41067,1 to 4,1 to 4,"OR, Washington County"
"PA, Allegheny",2025,All,42003,1 to 4,1 to 4,"PA, Allegheny County"
"PA, Bucks",2025,All,42017,1 to 4,1 to 4,"PA, Bucks County"
"PA, Chester",2025,All,42029,1 to 4,1 to 4,"PA, Chester County"
"PA, Delaware",2025,All,42045,1 to 4,1 to 4,"PA, Delaware County"
"PA, Erie",2025,All,42049,1 to 4,1 to 4,"PA, Erie County"
"PA, Lancaster",2025,All,42071,1 to 4,1 to 4,"PA, Lancaster County"
"PA, Montgomery",2025,All,42091,1 to 4,1 to 4,"PA, Montgomery County"
"PA, Philadelphia",2025,All,42101,1 to 4,1 to 4,"PA, Philadelphia County"
"PA, Pike",2025,All,42103,1 to 4,1 to 4,"PA, Pike County"
"PA, Union",2025,All,42119,1 to 4,1 to 4,"PA, Union County"
"PA, Westmoreland",2025,All,42129,1 to 4,1 to 4,"PA, Westmoreland County"
"RI, Providence",2025,All,44007,1 to 4,1 to 4,"RI, Providence County"
"SC, Charleston",2025,All,45019,1 to 4,1 to 4,"SC, Charleston County"
"SC, Greenville",2025,All,45045,1 to 4,1 to 4,"SC, Greenville County"
"SC, Horry",2025,All,45051,1 to 4,1 to 4,"SC, Horry County"
"SC, Jasper",2025,All,45053,1 to 4,1 to 4,"SC, Jasper County"
"SC, Lancaster",2025,All,45057,1 to 4,1 to 4,"SC, Lancaster County"
"SC, Pickens",2025,All,45077,1 to 4,1 to 4,"SC, Pickens County"
"SC, Richland",2025,All,45079,1 to 4,1 to 4,"SC, Richland County"
"SC, York",2025,All,45091,1 to 4,1 to 4,"SC, York County"
"SD, Pennington",2025,All,46103,1 to 4,1 to 4,"SD, Pennington County"
"TX, Bexar",2025,All,48029,1 to 4,1 to 4,"TX, Bexar County"
"TX, Brazoria",2025,All,48039,1 to 4,1 to 4,"TX, Brazoria County"
"TX, Brazos",2025,All,48041,1 to 4,1 to 4,"TX, Brazos County"
"TX, Cameron",2025,All,48061,1 to 4,1 to 4,"TX, Cameron County"
"TX, Collin",2025,All,48085,1 to 4,1 to 4,"TX, Collin County"
"TX, Coryell",2025,All,48099,1 to 4,1 to 4,"TX, Coryell County"
"TX, Denton",2025,All,48121,1 to 4,1 to 4,"TX, Denton County"
"TX, Fort Bend",2025,All,48157,1 to 4,1 to 4,"TX, Fort Bend County"
"TX, Galveston",2025,All,48167,1 to 4,1 to 4,"TX, Galveston County"
"TX, Hidalgo",2025,All,48215,1 to 4,1 to 4,"TX, Hidalgo County"
"TX, Liberty",2025,All,48291,1 to 4,1 to 4,"TX, Liberty County"
"TX, Maverick",2025,All,48323,1 to 4,1 to 4,"TX, Maverick County"
"TX, Smith",2025,All,48423,1 to 4,1 to 4,"TX, Smith County"
"TX, Victoria",2025,All,48469,1 to 4,1 to 4,"TX, Victoria County"
"TX, Walker",2025,All,48471,1 to 4,1 to 4,"TX, Walker County"
"TX, Williamson",2025,All,48491,1 to 4,1 to 4,"TX, Williamson County"
"TX, Winkler",2025,All,48495,1 to 4,1 to 4,"TX, Winkler County"
"UT, Salt Lake",2025,All,49035,1 to 4,1 to 4,"UT, Salt Lake County"
"UT, Utah",2025,All,49049,1 to 4,1 to 4,"UT, Utah County"
"UT, Washington",2025,All,49053,1 to 4,1 to 4,"UT, Washington County"
"VT, Addison",2025,All,50001,1 to 4,1 to 4,"VT, Addison County"
"VT, Chittenden",2025,All,50007,1 to 4,1 to 4,"VT, Chittenden County"
"VT, Windsor",2025,All,50027,1 to 4,1 to 4,"VT, Windsor County"
"VA, Albemarle",2025,All,51003,1 to 4,1 to 4,"VA, Albemarle County"
"VA, Chesterfield",2025,All,51041,1 to 4,1 to 4,"VA, Chesterfield County"
"VA, Fairfax",2025,All,51059,1 to 4,1 to 4,"VA, Fairfax County"
"VA, Frederick",2025,All,51069,1 to 4,1 to 4,"VA, Frederick County"
"VA, Loudoun",2025,All,51107,1 to 4,1 to 4,"VA, Loudoun County"
"VA, Middlesex",2025,All,51119,1 to 4,1 to 4,"VA, Middlesex County"
"VA, Stafford",2025,All,51179,1 to 4,1 to 4,"VA, Stafford County"
"VA, Alexandria City",2025,All,51510,1 to 4,1 to 4,"VA, Alexandria, City of"
"VA, Chesapeake City",2025,All,51550,1 to 4,1 to 4,"VA, Chesapeake, City of"
"VA, Virginia Beach City",2025,All,51810,1 to 4,1 to 4,"VA, Virginia Beach, City of"
"WA, Clark",2025,All,53011,1 to 4,1 to 4,"WA, Clark County"
"WA, Cowlitz",2025,All,53015,1 to 4,1 to 4,"WA, Cowlitz County"
"WA, Franklin",2025,All,53021,1 to 4,1 to 4,"WA, Franklin County"
"WA, Grant",2025,All,53025,1 to 4,1 to 4,"WA, Grant County"
"WA, Grays Harbor",2025,All,53027,1 to 4,1 to 4,"WA, Grays Harbor County"
"WA, Kitsap",2025,All,53035,1 to 4,1 to 4,"WA, Kitsap County"
"WA, Pierce",2025,All,53053,1 to 4,1 to 4,"WA, Pierce County"
"WA, Snohomish",2025,All,53061,1 to 4,1 to 4,"WA, Snohomish County"
"WA, Thurston",2025,All,53067,1 to 4,1 to 4,"WA, Thurston County"
"WA, Whitman",2025,All,53075,1 to 4,1 to 4,"WA, Whitman County"
"WV, Marion",2025,All,54049,1 to 4,1 to 4,"WV, Marion County"
"WI, Columbia",2025,All,55021,1 to 4,1 to 4,"WI, Columbia County"
"WI, Fond Du Lac",2025,All,55039,1 to 4,1 to 4,"WI, Fond du Lac County"
"WI, Marathon",2025,All,55073,1 to 4,1 to 4,"WI, Marathon County"
"WI, Milwaukee",2025,All,55079,1 to 4,1 to 4,"WI, Milwaukee County"
"WI, Outagamie",2025,All,55087,1 to 4,1 to 4,"WI, Outagamie County"
"WI, Pierce",2025,All,55093,1 to 4,1 to 4,"WI, Pierce County"
"WI, Polk",2025,All,55095,1 to 4,1 to 4,"WI, Polk County"
"WI, Portage",2025,All,55097,1 to 4,1 to 4,"WI, Portage County"
"WI, Shawano",2025,All,55115,1 to 4,1 to 4,"WI, Shawano County"
"WI, Waukesha",2025,All,55133,1 to 4,1 to 4,"WI, Waukesha County"
"WI, Winnebago",2025,All,55139,1 to 4,1 to 4,"WI, Winnebago County"
"WY, Sheridan",2025,All,56033,1 to 4,1 to 4,"WY, Sheridan County"
"AS, Manu'a",2025,All,60020,1 to 4,1 to 4,"AS, Manu'a District"
"GU, Guam",2025,All,66010,1 to 4,1 to 4,"GU, Guam"
"MP, Saipan",2025,All,69110,1 to 4,1 to 4,"MP, Saipan Municipality"
"PR, Anasco",2025,All,72011,1 to 4,1 to 4,"PR, Anasco Municipality"
"PR, Guanica",2025,All,72055,1 to 4,1 to 4,"PR, Guanica Municipality"
"PR, Jayuya",2025,All,72073,1 to 4,1 to 4,"PR, Jayuya Municipality"
"PR, Las Marias",2025,All,72083,1 to 4,1 to 4,"PR, Las Marias Municipality"
"PR, Maunabo",2025,All,72095,1 to 4,1 to 4,"PR, Maunabo Municipality"
"PR, Orocovis",2025,All,72107,1 to 4,1 to 4,"PR, Orocovis Municipality"
"PR, Rincon",2025,All,72117,1 to 4,1 to 4,"PR, Rincon Municipality"
"PR, Vieques",2025,All,72147,1 to 4,1 to 4,"PR, Vieques Municipality"
"AZ, Maricopa",2025,All,04013,32,5 to 49,AZ
"CA, Alameda",2025,All,06001,17,5 to 49,CA
"CA, Contra Costa",2025,All,06013,6,5 to 49,CA
"CA, Marin",2025,All,06041,5,5 to 49,CA
"CA, Orange",2025,All,06059,16,5 to 49,CA
"CA, Riverside",2025,All,06065,6,5 to 49,CA
"CA, Sacramento",2025,All,06067,7,5 to 49,CA
"CA, San Bernardino",2025,All,06071,6,5 to 49,CA
"CA, San Diego",2025,All,06073,17,5 to 49,CA
